libfm4:amd64	1.2.3-1
libfontconfig1:amd64	2.11.0-6.3
libfontenc1:amd64	1:1.1.3-1
libfreetype6:amd64	2.6.1-0.1
libfribidi0:amd64	0.19.7-1
libfuse2:amd64	2.9.5-1
libgbm1:amd64	11.1.2-1
libgc1c2:amd64	1:7.4.2-7.3
libgcc1:amd64	1:5.3.1-8
libgcrypt20:amd64	1.6.5-2
libgdbm3:amd64	1.8.3-13.1
libgdk-pixbuf2.0-0:amd64	2.32.3-1.2
libgdk-pixbuf2.0-common	2.32.3-1.2
libgeoip1:amd64	1.6.9-1
libgif7:amd64	5.1.2-0.2
libgl1-mesa-glx:amd64	11.1.2-1
libglapi-mesa:amd64	11.1.2-1
libglib2.0-0:amd64	2.46.2-3
libglibmm-2.4-1v5:amd64	2.46.3-1
libgmp10:amd64	2:6.1.0+dfsg-2
libgnutls-openssl27:amd64	3.4.9-2
libgnutls30:amd64	3.4.9-2
libgpg-error0:amd64	1.21-2
libgpm2:amd64	1.20.4-6.1+b2
libgraphite2-3:amd64	1.3.5-1
libgssapi-krb5-2:amd64	1.13.2+dfsg-4
libgstreamer-plugins-base1.0-0:amd64	1.6.3-1
libgstreamer1.0-0:amd64	1.6.3-1
libgtk-3-0:amd64	3.18.7-1
libgtk-3-bin	3.18.7-1
libgtk-3-common	3.18.7-1
libgtk2.0-0:amd64	2.24.29-1
libgtk2.0-common	2.24.29-1
libgtkmm-2.4-1v5:amd64	1:2.24.4-2+b1
libharfbuzz-icu0:amd64	1.0.1-1+b1
libharfbuzz0b:amd64	1.0.1-1+b1
libhogweed4:amd64	3.2-1
libhunspell-1.3-0:amd64	1.3.3-3+b2
libhyphen0	2.8.8-2
libice6:amd64	2:1.0.9-1+b1
libicu55:amd64	55.1-7
libid3tag0	0.15.1b-11
libidn11:amd64	1.32-3
libimlib2:amd64	1.4.7-1+b1
libisc-export95	1:9.9.5.dfsg-12.1
libisc95	1:9.9.5.dfsg-12.1
libisccc90	1:9.9.5.dfsg-12.1
libisccfg90	1:9.9.5.dfsg-12.1
libisl15:amd64	0.16.1-1
libjavascriptcoregtk-4.0-18:amd64	2.10.6-1
libjbig0:amd64	2.1-3.1
libjpeg62-turbo:amd64	1:1.4.2-2
libjson-glib-1.0-0:amd64	1.0.4-2
libjson-glib-1.0-common	1.0.4-2
libk5crypto3:amd64	1.13.2+dfsg-4
libkeyutils1:amd64	1.5.9-8
libklibc	2.0.4-8
libkmod2:amd64	22-1
libkrb5-3:amd64	1.13.2+dfsg-4
libkrb5support0:amd64	1.13.2+dfsg-4
liblcms2-2:amd64	2.6-3+b3
libldap-2.4-2:amd64	2.4.42+dfsg-2+b2
libllvm3.7:amd64	1:3.7.1-1+b1
liblocale-gettext-perl	1.07-1+b1
liblvm2app2.2:amd64	2.02.141-2
liblvm2cmd2.02:amd64	2.02.141-2
liblwres90	1:9.9.5.dfsg-12.1
liblz4-1:amd64	0.0~r131-1
liblzma5:amd64	5.1.1alpha+20120614-2.1
liblzo2-2:amd64	2.08-1.2
libmagic1:amd64	1:5.25-2
libmenu-cache-bin	1.0.1-1
libmenu-cache3:amd64	1.0.1-1
libmount1:amd64	2.27.1-3
libmozjs185-1.0	1.8.5-1.0.0+dfsg-4.5
libmpc3:amd64	1.0.3-1
libmpfr4:amd64	3.1.3-2
libmtdev1:amd64	1.1.5-1
libncurses5:amd64	6.0+20151024-2
libncursesw5:amd64	6.0+20151024-2
libnetpbm10	2:10.0-15.3
libnettle6:amd64	3.2-1
libnewt0.52:amd64	0.52.18-2
libnghttp2-14:amd64	1.7.1-1
